original_article,duplicate_article,link1_length,link2_length,link3_length,link4_length,is circular reporting?
delfi.ee/artikkel/120128016,err.ee/1608842536,3,2,,,FALSE
delfi.ee/artikkel/120128016,postimees.ee/7683390,3,2,,,FALSE
delfi.ee/artikkel/120125552,err.ee/1608824770,2,3,3,,FALSE
delfi.ee/artikkel/120083144,delfi.ee/artikkel/120079168,2,3,,,FALSE
delfi.ee/artikkel/120070418,delfi.ee/artikkel/120069550,2,3,,,FALSE
delfi.ee/artikkel/120056876,delfi.ee/artikkel/120053798,3,2,,,FALSE
delfi.ee/artikkel/120036922,delfi.ee/artikkel/120030044,2,3,,,FALSE
delfi.ee/artikkel/120019770,delfi.ee/artikkel/120008955,2,3,,,FALSE
delfi.ee/artikkel/96557167,err.ee/1608111016,2,3,,,FALSE
delfi.ee/artikkel/96118515,delfi.ee/artikkel/96106315,2,3,,,FALSE
delfi.ee/artikkel/95074533,err.ee/1608389297,2,3,,,FALSE
delfi.ee/artikkel/94953451,delfi.ee/artikkel/94890911,3,2,,,FALSE
delfi.ee/artikkel/94758647,delfi.ee/artikkel/94689501,2,3,,,FALSE
delfi.ee/artikkel/94741187,delfi.ee/artikkel/94689501,2,3,3,,FALSE
delfi.ee/artikkel/120348467,delfi.ee/artikkel/120313368,3,2,,,FALSE
delfi.ee/artikkel/120342473,delfi.ee/artikkel/120332538,3,2,3,,FALSE
delfi.ee/artikkel/120342473,delfi.ee/artikkel/120332844,3,2,,,FALSE
delfi.ee/artikkel/120342504,delfi.ee/artikkel/120220026,2,3,,,FALSE
delfi.ee/artikkel/120342084,delfi.ee/artikkel/120332538,2,3,,,FALSE
delfi.ee/artikkel/120339994,delfi.ee/artikkel/120231207,3,2,,,FALSE
delfi.ee/artikkel/120337760,delfi.ee/artikkel/120337618,3,2,,,FALSE
delfi.ee/artikkel/120334175,delfi.ee/artikkel/120033110,3,2,,,FALSE
delfi.ee/artikkel/120331269,delfi.ee/artikkel/120320897,3,2,,,FALSE
delfi.ee/artikkel/120331123,delfi.ee/artikkel/120302009,2,3,,,FALSE
delfi.ee/artikkel/120330647,delfi.ee/artikkel/120328494,2,3,,,FALSE
delfi.ee/artikkel/120330647,delfi.ee/artikkel/120320494,3,2,,,FALSE
delfi.ee/artikkel/120330647,delfi.ee/artikkel/120303034,3,2,3,,FALSE
delfi.ee/artikkel/120328494,delfi.ee/artikkel/120320494,3,2,,,FALSE
delfi.ee/artikkel/120324140,err.ee/1609441550,3,2,,,FALSE
delfi.ee/artikkel/120322941,delfi.ee/artikkel/120318351,2,3,,,FALSE
delfi.ee/artikkel/120322560,delfi.ee/artikkel/120320231,2,3,,,FALSE
delfi.ee/artikkel/120316283,delfi.ee/artikkel/120316220,2,3,,,FALSE
delfi.ee/artikkel/120316283,delfi.ee/artikkel/120316293,3,2,,,FALSE
delfi.ee/artikkel/120316283,delfi.ee/artikkel/120283298,3,3,,,FALSE
delfi.ee/artikkel/120316283,delfi.ee/artikkel/120294804,3,2,,,FALSE
delfi.ee/artikkel/120316220,delfi.ee/artikkel/120283298,2,3,,,FALSE
